University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,Comments
Duquesne University (DU),medicinal chemistry,"$22,000",1.06,2017-2018,1st,
University of Chicago (UC),,"$31,000",1.28,2016-2017,1st,
University of Texas Health Science Center - Houston,Biostatistics (School of Public Health),"$20,000",0.92,2016-2017,1st,"Pays very low, and requires PhD students to pay tuition (plus some other redundant fees). Won't be able to sustain yourself here very well."
Drexel University (DU),Department of Chemistry,"$21,000",0.87,2017-2018,1st,I do not know about fees and taxes yet.
University of Tennessee - Knoxville,Mechanical Engineering,"$28,700",1.35,2017-2018,1st,
University of Notre Dame (ND),computer science,"$31,750",1.55,2017-2018,3rd,
Bowling Green State University (BGSU),Biology,"$16,000",0.85,2017-2018,1st,
University of Pittsburgh,Higher Education Management (M.Ed.),"$14,721",0.71,2016-2017,1st,tuition waived. university minimum healthcare.
University of Pittsburgh,Higher Education Management,"$1,617",0.08,2016-2017,1st,Amount (after taxes) paid on the last business day of each month.
Texas Tech University (TTU),Plant and Soil Science,"$15,955",0.79,2017-2018,1st,
,,,,2017-2018,4th,
University of Notre Dame (ND),Computer Science,"$27,258",1.33,2016-2017,2nd,
Florida International University (FIU),Biomedical Engineering,"$21,500",0.90,2016-2017,4th,
University of Utah,Psychology,"$19,500",0.88,2016-2017,2nd,Tuition waiver included with graduate assistantship/ graduate teaching assistantship
Louisiana State University School of Medicine - New Orleans,Physiology,"$22,800",0.99,2016-2017,4th,"Housing is expensive here. Have to take out loans. Yes my fees really are $1200 a year, broken into 3 semesters/year, with no option of a payment plan. Also, my graduate school does not cover health insurance."
Yale University (YU),Ecology & Evolutionary Biology,"$36,250",1.47,2016-2017,4th,
University of California - Berkeley,,"$18,000",0.65,2017-2018,1st,
Louisiana State University - Baton Rouge,management information systems,"$20,600",0.95,2017-2018,1st,
Yale University (YU),Economics,"$38,000",1.54,2017-2018,1st,
Colorado School of Mines,Applied Math,"$15,000",0.67,2016-2017,1st,
CUNY - Baruch College,,"$36,000",1.21,2016-2017,2nd,
University of Nevada - Reno (UNR),Public Health,"$19,300",0.92,2017-2018,1st,
Georgia Institute of Technology (Georgia Tech),Chemistry,"$25,800",1.11,2017-2018,,
Icahn School of Medicine at Mount Sinai,Biomedical Sciences,"$36,000",,2017-2018,3rd,
,physics,"$18,700",,2016-2017,1st,
,,"$18,700",,2016-2017,1st,
University of Virginia (UVA),Biomedical Sciences,"$30,000",1.31,2017-2018,1st,
University of California - San Diego (UCSD),Chemistry and Biochemistry,"$29,000",1.10,2017-2018,5th,"The Chem. and Biochem. Department at UCSD also offers a one-time conference stipend of $500, which can be used to help finance a conference trip where the student presents their research."
Yale University (YU),Linguistics,"$30,250",1.22,2016-2017,3rd,
University of Oregon (UO),linguistics,"$12,834",0.61,2016-2017,,
Brandeis University,Psychology,"$23,952",0.86,2016-2017,2nd,
Georgia Institute of Technology (Georgia Tech),Mechanical,"$26,400",1.13,2017-2018,1st,
University of California - Davis (UCD),MAE,"$77,400",3.23,2016-2017,3rd,
Brandeis University,Physics,"$30,000",1.07,2016-2017,1st,
University of California - Los Angeles (UCLA),Bioengineering,"$23,854",0.92,2016-2017,1st,
Arizona State University (ASU),SEMTE,"$20,300",0.91,2016-2017,2nd,
University of Florida (UF),Biomedical Sciences,"$26,707",1.18,2017-2018,1st,
Sofia University,social work,"$22,400",0.90,2013-2014,4th,none
Johns Hopkins University (JHU),Molecular Microbiology and Immunology,"$30,398",1.18,2016-2017,1st,
,,"$24,000",,2016-2017,,
University of Wisconsin - Madison (UW),Chemistry,"$26,500",1.16,2017-2018,1st,
Rice University,Anthropology,"$21,500",0.98,2016-2017,1st,
University of Kentucky (UK),Integrated Plant and Soil Science,"$17,800",0.87,2016-2017,1st,
University of Southern California (USC),Computer Science,"$34,000",1.31,2017-2018,1st,Fellowship
university of florida,department of wildlife,"$17,524",,2017-2018,1st,
Harvard University (HU),Art history,"$34,000",1.19,2016-2017,1st,
North Carolina State University (NCSU),English,"$8,000",0.35,2017-2018,1st,
Duquesne University (DU),English Literature,"$17,000",0.82,2017-2018,1st,"All students also receive a full tuition scholarship. There are probably some required fees, but I am not sure about them yet."
Yale University (YU),"Molecular Cell Biology, Genetics and Developmental","$38,650",1.56,2016-2017,1st,Yale based fellowship included.
University of Colorado - Boulder (UCB),Mechanical engineering,"$30,000",1.18,2017-2018,1st,
University of Colorado - Boulder (UCB),Mechanical engineering,"$2,500",0.10,2017-2018,1st,
SUNY Polytechnic Institute,,"$26,700",,2016-2017,,
University of Pennsylvania,molecular biology,"$32,000",1.33,2017-2018,1st,
University of Michigan - Ann Arbor (UM),Germanic Languages and Literatures,"$27,500",1.19,2017-2018,,
Stanford University (SU),chemistry,"$5,000",0.17,2016-2017,,
Dartmouth College,Earth Science,"$28,700",1.16,2016-2017,1st,
Western Michigan University (WMU),blank,"$18,000",0.89,2016-2017,,
University of Notre Dame (ND),AME / Bioengineering,"$28,560",1.40,2017-2018,1st,
Massachusetts Institute of Technology (MIT),,"$36,000",1.29,2017-2018,1st,
Yale University (YU),Immunobiology,"$35,150",1.42,2017-2018,1st,
University of Texas - Austin (UT),Cell and Molecular Biology,"$27,000",1.18,2015-2016,2nd,
University of North Carolina - Chapel Hill (UNC),MEDICINE,"$18,000",0.81,2016-2017,1st,
Georgia Institute of Technology (Georgia Tech),Business,"$18,000",0.77,2016-2017,5th,"Tuition reduced to $25, but responsible for all fees. Additional pay for teaching courses beyond 2/year required if there's need."
Icahn School of Medicine at Mount Sinai,Genetics and Genomic Sciences,"$36,000",,2016-2017,1st,
University of Texas - Austin (UT),Sociology,"$20,074",0.88,2017-2018,1st,"$20,074 for the first two years. It includes 5000 for summer research each year and 1000 for relocation expenses. After the 3 year, the department offers $15,074 per academic year (9 months excluding summer)."
University of Florida (UF),biostatistics,"$20,000",0.88,2016-2017,2nd,
University of Rochester (UR),Chemistry,"$28,419",1.33,2017-2018,,
University of Cincinnati (UC),Environmental Engineering,"$20,000",1.04,2016-2017,,
University of California - Berkeley,Molecular and Cell Biology,"$34,500",1.24,2016-2017,2nd,
Wake Forest University (WFU),,"$28,500",1.31,2016-2017,1st,
University of California - Los Angeles (UCLA),Psychology,"$27,000",1.04,2017-2018,1st,
,,"$5,000",,2016-2017,,
Ohio State University (OSU),Political Science,"$25,296",1.26,2017-2018,1st,University Fellowship awarded.
University of Illinois - Chicago (UIC),chemistry,"$23,250",0.96,2017-2018,1st,
University of Michigan - Ann Arbor (UM),Sociology,"$23,738",1.03,2017-2018,3rd,
University of Manitoba,Animal Science,"$19,500",,2016-2017,3rd,
Northern Illinois University (NIU),Biology,"$10,600",0.48,2016-2017,1st,
Pennsylvania State University (Penn State),Clinical Psychology,"$19,035",0.85,2017-2018,,
University of Minnesota - Twin Cities (UM),Neuroscience,"$26,000",1.13,2016-2017,5th,
Drexel University (DU),Physics,"$23,500",0.97,2017-2018,1st,
Duquesne University (DU),Instructional Leadership in Education,$697,0.03,2016-2017,,This pay of for a part-time (16 hours/week) graduate assistant. I am also expected to pay 25% of my tuition and all related fees
Harvard University (HU),Committee on the Study of Religion,"$33,624",1.17,2017-2018,1st,"Includes tuition, health insurance, one-time $2500 professional development stipend, and various other subsidies."
Yale University (YU),East Asian Languages and Literatures,"$29,000",1.17,2016-2017,3rd,
University of Michigan - Ann Arbor (UM),Pharmacology,"$28,000",1.42,2011-2012,5th,
Johns Hopkins University (JHU),Policy,"$24,000",0.93,2016-2017,1st,
College of William and Mary (W&amp;M),Biology,"$15,000",,2017-2018,1st,Two year MS-thesis. Stipend from TA position. Fees and tuition waived.
University of Massachusetts - Amherst (UMass),Communication,"$17,608",0.77,2016-2017,4th,Per semester: Service Fee - 616.50
Illinois Institute of Technology (IIT),CS,"$10,000",0.41,2017-2018,1st,
George Washington University (GW),Institute for Biomedical Sciences,"$32,000",1.04,2017-2018,1st,
Purdue University - West Lafayette,industrial engineering,"$1,500",0.07,2017-2018,,
Yale University (YU),MB&B,"$30,000",1.21,2016-2017,3rd,
University of Southern California (USC),Biology of Aging,"$30,900",1.19,2016-2017,1st,
University of California - Los Angeles (UCLA),computer science,"$275,000",10.63,2016-2017,1st,
Boston University (BU),American and New England Studies,"$22,000",0.77,2017-2018,1st,
Massachusetts Institute of Technology (MIT),Chemical engineering,"$40,300",1.44,2016-2017,1st,
University of Cincinnati (UC),Electrical Engineering,"$13,300",0.69,2016-2017,,
Harvard University (HU),School of Engineering and Applied Sciences (SEAS),"$35,200",1.23,2016-2017,2nd,3.5% rise
Stony Brook University - SUNY,Psychology,"$33,000",1.18,2017-2018,1st,"For first 2 years and following rest of program, 19,000."
Stowers Institute,,"$36,000",,2016-2017,1st,
Utah State University (USU),EAPS,"$10,000",0.48,2016-2017,4th,"Fees beyond taxes are student union fees and other campus-specific fees. Tuition is covered, but school fees other than tuition are not."
Temple University (TU),Chemistry,"$18,123",0.75,2016-2017,5th,"In total, chemistry doctoral students are meant to be paid $26,000/year in full but because of union requirements, all grauduate students must make the same during the course of the 9-months. The remainder is paid during the summer months."
Boston College (BC),Psychology,"$28,300",1.01,2016-2017,5th,
University of Rochester (UR),Chemistry,"$26,490",1.24,2016-2017,4th,"The department pays the fee to use the university health center, but we are responsible for paying our own health insurance."
CUNY - City College,Biology,"$24,800",0.83,2016-2017,3rd,
Tulane University (TU),Neuroscience,"$30,500",1.32,2015-2016,5th,This is untaxed
Syracuse University,Psychology,"$17,000",0.80,2017-2018,2nd,
McMaster University,Biology,"$11,000",,2016-2017,4th,TA is the sole income source of income in the Biology department. TA is mandatory. If you win a scholarship that will be an extra income but you will end up with appro 30% of the award money.
Massachusetts Institute of Technology (MIT),Materials Science and Engineering,"$35,420",1.27,2016-2017,5th,
McMaster University,Biology,"$-1,200",,2016-2017,5th,"Once you are over time, you are NOT allowed to TA, so no earnings from TA (which is the sole income source in the Biology department. If you win a scholarship that will be an extra income). Your supervisor is not going to pay a single penny (no RA) plus you are expected to pay $1200 as tuition fee even when you are overtime and not taking any classes. Not to mention administrative fees are extra."
mcmaster university,biology,"$13,000",,2016-2017,1st,
University of North Carolina - Chapel Hill (UNC),Pharmacology,"$29,000",1.30,2016-2017,2nd,
University of Illinois - Chicago (UIC),Neuroscience,"$27,000",1.11,2017-2018,4th,"Our program pays our required fees, but that only started with my cohort. Previous cohorts paid about $1000-$2000 in fees each semester (including summer)."
University of Wisconsin - Madison (UW),Biomedical Engineering,"$24,400",1.07,2017-2018,1st,
Simon Fraser University,Chemistry,"$23,500",,2016-2017,,
Georgia Institute of Technology (Georgia Tech),ECE,"$20,600",0.88,2016-2017,2nd,
University of Rochester (UR),mechanical engineering,"$25,000",1.17,2016-2017,1st,
University of Denver (DU),Physics,"$19,745",0.88,2016-2017,1st,"Summer pay is not guaranteed, and you may get very little notice that you will receive no pay."
University of South Carolina (USC),Health Aminstration,"$5,000",0.22,2017-2018,1st,
Harvard University (HU),Biostatistics,"$33,000",1.15,2016-2017,4th,
Skolkovo Institute of Science and Technology,Center for Design Manufacturing and Materials,"$1,327",,2016-2017,,The stipend is 75 000 Rubbles.
University of Nebraska Medical Center,,"$26,500",1.31,2017-2018,1st,
Wesleyan University,Biology,"$31,794",1.26,2017-2018,1st,"Full tuition remission and funding for conferences ($300 for non-presenters, $800 for presenters). We are required to have health insurance but the University subsidizes a few plans."
University of Rochester (UR),Microbiology and Immunology,"$27,862",1.30,2016-2017,,
Rice University,Civil Engineering,"$24,000",1.10,2017-2018,1st,
Michigan Technological University (MTU),Chemistry,"$13,000",0.64,2017-2018,1st,
University of Utah,Atmospheric Sciences,"$25,500",1.15,2016-2017,1st,+ tuition waver + health insurance
Cornell University (CU),Physics,"$28,113",1.16,2017-2018,1st,
University of Southern California (USC),Biology,"$32,000",1.24,2016-2017,5th,
University of Massachusetts - Amherst (UMass),CS,"$32,354",1.41,2017-2018,1st,
,,"$26,200",,2016-2017,,
Columbia University (CU),Electrical Engineering,"$33,400",1.12,2016-2017,1st,
North Carolina State University (NCSU),Chemistry,"$20,500",0.90,2016-2017,4th,
University of Florida (UF),Rehabilitation Sciences,"$18,900",0.83,2015-2016,4th,
University of Florida (UF),Interior Design,"$15,000",0.66,2016-2017,1st,
Yale University (YU),Geology and geophysics,"$33,850",1.37,2017-2018,1st,
Case Western Reserve University,BME,"$25,000",1.25,2016-2017,2nd,
University of Texas - Arlington (UTA),Civil Engineering,"$24,000",1.10,2016-2017,,
University of Texas - Austin (UT),Microbiology,"$30,000",1.31,2016-2017,,
University of Texas - Austin (UT),Biochemistry,"$30,000",1.31,2016-2017,,
University of Chicago (UC),Bsd,"$30,419",1.25,2016-2017,1st,
Michigan Technological University (MTU),Mechanical,"$19,800",0.97,2016-2017,1st,
University of California - San Diego (UCSD),Pharmacology,"$-2,500",-0.09,2017-2018,1st,
CUNY Graduate School and University Center,,"$29,000",0.98,2017-2018,,
Wright State University (WSU),biomedical,"$18,000",0.91,2017-2018,1st,
Georgia State University (GSU),computer science,"$187,000",8.03,2017-2018,1st,
Tufts University (TU),Theatre & Performance Studies,"$21,000",0.75,2016-2017,1st,"All Grad students in Theatre & Performance studies receive five years of tuition remission, health insurance, and fellowships/TAships at $21,000 per year"
Drexel University (DU),Mechanical Engineering,"$15,000",0.62,2017-2018,1st,
Drexel University (DU),Mechanical Engineering,"$19,998",0.83,2017-2018,1st,
Georgia State University (GSU),computer science,"$16,000",0.69,2017-2018,,
,,"$18,000",,2016-2017,,
"University at Albany, State University of New York",Public Administration,"$14,370",,2016-2017,4th,
Massachusetts Institute of Technology (MIT),Chemistry,"$37,000",1.32,2016-2017,1st,
Iowa State University (ISU),Chemistry,"$25,369",1.19,2017-2018,5th,
University of Tennessee - Knoxville,Economics,"$17,000",0.80,2016-2017,3rd,
Texas A&amp;M; University - College Station,,"$26,000",,2017-2018,,
University of Missouri - Kansas City (UMKC),Physics,"$17,800",0.86,2016-2017,1st,
Syracuse University,Civil / PhD,"$18,000",0.84,2017-2018,1st,Tution fees is wavered
University of Notre Dame (ND),Chemical and Biomolecular Engineering,"$29,935",1.46,2016-2017,1st,
Wright State University (WSU),engineering,"$18,000",0.91,2017-2018,1st,
Stanford University (SU),Biology,"$41,900",1.46,2016-2017,1st,
Montana State University (MSU),Electrical and Computer Engineering,"$1,340",0.06,2017-2018,1st,
University of Illinois - Urbana- Champaign (UIUC),Civil Engineering,"$17,910",0.81,2017-2018,1st,
Iowa State University (ISU),Construction Engineering and Management,"$21,900",1.03,2016-2017,1st,
Syracuse University,Electrical Engineering and Computer Science,"$-22,000",-1.03,2016-2017,1st,
Georgia Institute of Technology (Georgia Tech),Materials Science,"$22,200",0.95,2016-2017,2nd,
CUNY Graduate School and University Center,Sociology,"$17,400",0.66,2014-2015,5th,
CUNY Graduate School and University Center,Psychology,"$24,818",0.83,2016-2017,3rd,
University of Utah,Computer Science,"$15,000",0.67,2017-2018,1st,
University of Alabama (UA),Geological Sciences,"$27,000",1.29,2016-2017,1st,
University of Arizona (U of A),Chemistry,"$6,344",0.31,2017-2018,1st,
University of California - Irvine (UCI),Materials Science and Engineering,"$22,500",0.77,2017-2018,1st,"32087 to cover Tuition, Insurance. Plus 2500/month for 9 months to cover housing & living expenses"
Colorado School of Mines,Electrical and electronics,"$22,400",1.00,2017-2018,5th,Provided both TA and RA
Rice University,Electrical engineering,"$30,000",1.37,2017-2018,1st,
University of Sciences,"PhD, pharmaceutics","$15,000",,2017-2018,1st,
University of Utah,Mechanical Engineering,"$18,150",0.82,2017-2018,,
University of Illinois - Urbana- Champaign (UIUC),Civil Engineering,"$15,600",0.71,2017-2018,1st,
University of Illinois - Urbana- Champaign (UIUC),Civil Engineering,"$1,300",0.06,2017-2018,1st,
University of Texas - Arlington (UTA),Chemistry and Biochemistry,"$24,000",1.10,2016-2017,,
Oregon State University (OSU),Bioengineering,"$18,711",0.90,2017-2018,1st,
University of Louisville (U of L),Urban and Public Affairs,"$18,000",0.87,2017-2018,1st,
Northwestern University (NU),Anthropology,"$30,000",1.24,2017-2018,1st,
Baylor College of Medicine,Molecular and Human Genetics,"$31,000",1.42,2017-2018,1st,
University of Wisconsin - Madison (UW),Biomedical Engineering,"$25,000",1.09,2017-2018,1st,
CUNY Graduate School and University Center,Chemistry,"$24,975",0.84,2016-2017,5th,
University of Kansas (KU),Department of Molecular Biosciences,"$25,084",1.23,2017-2018,1st,
University of Nebraska - Lincoln (NU),College of Arts & Sciences,"$16,000",0.82,2015-2016,1st,"We're all paid over 10 months, $16000 total. We have to pay student fees (~$800 a semester), but have good options/deals for health insurance. Also, we only ""work"" 15hrs/week according to the admin/university... so technically you could find another 5 hr/wk taxable-gig and still be within the working rules. Everyone is on their own for summer, but there's options within the department."
University of Toledo,Sociology,"$9,800",0.52,2015-2016,,
,,"$19,000",,2016-2017,,
Northwestern University (NU),Chemical and Biological Engineering,"$30,460",1.26,2016-2017,1st,
University of Michigan - Ann Arbor (UM),Bioinformatics,"$30,500",1.32,2017-2018,1st,
University of Alabama - Birmingham (UAB),Chemistry,"$26,000",1.21,2017-2018,1st,
Florida International University (FIU),Psychology,"$16,800",0.71,2016-2017,4th,"Tuition waiver is provided. Semester fees (parking, gym, student activities etc.) come out of pocket. If you opt to have insurance through the university it is also deducted from your pay."
Stony Brook University - SUNY,Psychology,"$-30,000",-1.07,2016-2017,,
CUNY - Queens College,Biology,"$26,000",0.87,2016-2017,2nd,
CUNY Graduate School and University Center,EES,"$16,600",0.56,2015-2016,3rd,
CUNY Graduate School and University Center,Biology/MCD,"$27,000",0.91,2016-2017,1st,
University of Pennsylvania,Pharmacology,"$32,000",1.33,2016-2017,1st,
Northwestern University (NU),Mechanical Engineering,"$2,166",0.09,2016-2017,2nd,
CUNY Graduate School and University Center,psychology,"$45,000",1.51,2016-2017,5th,
CUNY Graduate School and University Center,Psychology,"$25,000",0.84,2016-2017,1st,
University of Chicago (UC),Biophysical Sciences,"$31,750",1.31,2017-2018,1st,31k base + 750 relocation bonus + health insurance + laptop
Johns Hopkins University (JHU),Physics and Astronomy,"$33,333",1.30,2017-2018,1st,
Tufts University (TU),Biology,"$30,000",1.07,2016-2017,,
University of Texas Southwestern Medical Center - Dallas,,"$34,500",1.60,2016-2017,4th,
Washington University in St. Louis (Wash U),Human and Statistical Genetics,"$30,000",1.45,2017-2018,1st,
University of Nebraska - Lincoln (NU),Chemistry PhD student,"$26,000",1.33,2017-2018,,
Wake Forest University (WFU),Chemistry,"$23,480",1.08,2017-2018,2nd,
Massachusetts Institute of Technology (MIT),LINGUISTICS,"$34,034",1.22,2017-2018,1st,9 months of stipends + summer support. the student life fee and the individual health insurance fee also offered.
Rutgers the State University of New Jersey - New Brunswick,English,"$30,000",1.16,2017-2018,1st,
Auburn University (AU),Aerospace Program,"$10,200",0.47,2017-2018,1st,
Lehigh University,Computer Science,"$22,050",0.99,2017-2018,1st,
,,"$300,000",,2016-2017,,
Tufts University (TU),Biology,"$30,892",1.11,2016-2017,3rd,"We get paid in two lump sums in June for the entire summer, so paycheck amount varies but monthly pay doesn't."
Ohio State University (OSU),Mechanical and Aerospace Engineering/Biophysics,"$21,000",1.05,2016-2017,4th,
University of Arizona (U of A),English,"$15,000",0.72,2016-2017,3rd,
University of Arizona (U of A),English,"$16,000",0.77,2017-2018,6th and up,
University of Toledo,Biological Science,"$24,000",1.28,2017-2018,1st,
Columbia University (CU),,"$38,352",1.29,2017-2018,1st,
Rutgers the State University of New Jersey - New Brunswick,Physics,"$25,969",1.01,2016-2017,2nd,
Georgia State University (GSU),School of Public Health,"$19,500",0.84,2016-2017,1st,
CUNY Graduate School and University Center,Anthropology,"$35,000",1.18,2016-2017,1st,"5 year Fellowship $25,000 + extra $10,000 for Provost Fellowship"
University of Maryland - College Park (UMD),Art History,"$16,850",0.56,2017-2018,1st,
Purdue University - West Lafayette,Chemical Engineering,"$28,500",1.35,2017-2018,1st,$500 moving in allowance.
Fordham University (FU),Theology,"$22,940",0.77,2017-2018,5th,There will be additional pay starting from 3rd year.
Brown University,French Studies,"$30,000",1.32,2017-2018,1st,
Yale University (YU),Anthropology,"$30,250",1.22,2016-2017,1st,
Michigan State University (MSU),Psychology,"$22,000",1.07,2017-2018,1st,
Indiana University,Biology,"$23,800",1.10,2016-2017,1st,
University of California - Los Angeles (UCLA),Musicology,"$28,926",1.12,2016-2017,6th and up,
University of Michigan - Ann Arbor (UM),Statistics,"$30,000",1.30,2015-2016,1st,
University of Georgia (UGA),Biochemistry,"$26,900",1.27,2016-2017,3rd,
University of Kentucky (UK),Kinesiology,"$9,600",0.47,2016-2017,1st,
Brandeis University,Physics,"$28,956",1.04,2016-2017,,
Cornell University (CU),Biophysics,"$32,850",1.35,2016-2017,1st,
University of Michigan - Ann Arbor (UM),Biophysics,"$29,500",1.28,2016-2017,1st,
Washington University in St. Louis (Wash U),BME,"$28,500",1.38,2016-2017,1st,
Duke University (DU),Physics,"$40,500",1.82,2016-2017,1st,"The regular stipend is 30,500/year. I got a 10K scholarship on top of the normal stipend"
University of Houston (UH),Chemistry,"$25,200",1.15,2016-2017,4th,
University of Houston (UH),Chemistry,"$1,950",0.09,2016-2017,4th,
University of California - Berkeley,History,"$27,500",0.99,2016-2017,1st,
Tufts University (TU),Child Study and Human Development,"$21,000",0.75,2015-2016,2nd,
University of Michigan - Ann Arbor (UM),Sociology,"$23,900",1.04,2016-2017,,
Harvard University (HU),Psychology,"$33,624",1.17,2017-2018,1st,
Yeshiva University (YU),Biomedical sciences,"$33,000",1.11,2016-2017,5th,Health Insurance included
Columbia University (CU),Earth and Environmental Sciences,"$37,720",1.27,2017-2018,1st,Health insurance and subsidized housing included in fellowship package
University of Pittsburgh,Antropology,"$22,000",1.06,2017-2018,1st,
University of Georgia (UGA),,"$11,699",0.55,2016-2017,3rd,
University of Miami (UM),Programs in Biological Sciences,"$28,100",1.18,2017-2018,1st,
Rice University,Bioengineering,"$29,000",1.33,2017-2018,1st,
Brown University,Epidemiology,"$27,510",1.21,2016-2017,1st,
University at Albany - SUNY,Atmospheric and Environmental Sciences,"$22,100",0.97,2016-2017,1st,
University of Notre Dame (ND),Environmental engineering,"$32,500",1.59,2017-2018,,
University of Minnesota - Twin Cities (UM),American Studies,"$20,500",0.89,2016-2017,2nd,
Yeshiva University (YU),"Pathology/Biomedicine PhD, Albert Einstein College of Medicine","$33,000",1.11,2016-2017,5th,
Arizona State University (ASU),Electrical Engineering,"$27,000",1.22,2017-2018,1st,
University of Pittsburgh,physics,"$17,900",0.86,2017-2018,1st,
University of Michigan - Ann Arbor (UM),Comp,"$29,000",1.26,2017-2018,1st,
University of Pennsylvania,Neuroscience,"$31,000",1.29,2017-2018,1st,
University of Washington (UW),Neuroscience,"$30,020",1.29,2017-2018,1st,
University of Tulsa (TU),Mathematics,"$26,200",1.32,2017-2018,1st,
New York University (NYU),,"$28,138",0.95,2016-2017,1st,
University of Hawaii - Manoa (UH),Psychology,"$17,500",0.57,2016-2017,1st,
London School of Economics,Media and Communications,$792,,2017-2018,1st,The scholarship covers full tuition fees plus the living stipend.
University of Texas Southwestern Medical Center - Dallas,Neuroscience,"$34,500",1.60,2016-2017,1st,
University at Buffalo - SUNY,Materials Design and Innovation,"$18,000",0.86,2016-2017,1st,
University of California - San Francisco (UCSF),Neuroscience,"$36,900",1.23,2016-2017,4th,
Loyola University Chicago (LUC),chemistry,"$30,000",1.24,2016-2017,1st,
Purdue University - West Lafayette,Finance,"$20,500",0.97,2017-2018,1st,Have to pay semester fees and partly health insurance
Cornell University (CU),Soil and Crop Sciences,"$34,373",1.42,2017-2018,1st,
University of Auckland,,"$15,000",,2017-2018,,
University of Southern California (USC),Political Science,"$26,000",1.00,2017-2018,1st,
Michigan State University (MSU),Political Science,"$23,000",1.12,2017-2018,1st,
New York University (NYU),CGPH,"$27,150",0.91,2016-2017,,
University of Washington (UW),Biostatistics,"$27,305",1.17,2016-2017,2nd,
University of Chicago (UC),,"$33,000",1.36,2016-2017,2nd,25k divisional; 5k additional fellowship; 3k summers. University provides health insurance (could be more comprehensive for sure). BS fees every quarter ~300
Cornell University (CU),Biomedical Engineering,"$33,536",1.38,2017-2018,1st,
Weill Cornell Graduate School of Medical Sciences,PBSB,"$37,530",,2017-2018,1st,
Stony Brook University - SUNY,Electrical Engineering,"$18,000",0.64,2017-2018,1st,
University of Delaware (UD),chemistry,"$24,300",0.96,2016-2017,2nd,
University of Illinois - Urbana- Champaign (UIUC),Computer Science,"$25,680",1.17,2017-2018,1st,50% RA only.
University of Chicago (UC),statistics,"$29,250",1.21,2017-2018,1st,
University of Kentucky (UK),College of Education/Counseling Psychology,"$10,543",0.52,2016-2017,3rd,
University of Denver (DU),Psychology,"$20,000",0.89,2016-2017,1st,Summer funding optional
University of Arizona (U of A),Sociology,"$16,250",0.78,2016-2017,1st,incl health insurance
Carnegie Mellon University (CMU),Machine Learning,"$31,200",1.51,2017-2018,1st,
California Institute of Technology (Caltech),,"$33,999",1.31,2016-2017,3rd,Stipend from NSF. I get an additional $3-5k for each class taught.
University of Nebraska - Lincoln (NU),Nutrition and Health Sciences,"$11,444",0.59,2016-2017,1st,"This stipend is very low. In addition, health insurance is only covered 79%. You have to pay the 21%."
Virginia Tech,Engineering Mechanics,"$23,343",1.11,2017-2018,1st,
Harvard University (HU),Government (Political Science),"$33,624",1.17,2017-2018,1st,
University of Texas Southwestern Medical Center - Dallas,Biomedical Engineering,"$34,500",1.60,2017-2018,1st,Need to pay for your own health insurance. You can purchase through the school for about $2000
Texas A&M College Station,Biochemistry & Biophysics,"$26,000",,2016-2017,5th,Low living cost
Stanford University (SU),Applied Physics,"$35,563",1.24,2016-2017,6th and up,
University of Notre Dame (ND),Medieval Institute,"$23,000",1.12,2017-2018,1st,
University of Southern California (USC),Comparative Literature,"$28,000",1.08,2016-2017,1st,
Tulane University (TU),Mathematics,"$16,650",0.72,2017-2018,1st,"$19650 for 9 month, 20 hr/wk TA position. Tuition covered but responsible for ~2k in fees and ~1k for health insurance."
University of Virginia (UVA),Biomedical Engineering,"$30,000",1.31,2017-2018,1st,Department's Financial Aid
University of Colorado - Boulder (UCB),Political Science,"$19,072",0.75,2017-2018,1st,"""For academic year AY16-17, out-of-pocket costs for first-year graduate students included approximately $169.50 toward health insurance, and student fees that ranged from $446 to $1,032 depending on your graduate status and number of credit hours"""
University of California - San Diego (UCSD),Anthropology,"$40,000",1.51,2016-2017,1st,"Departmental Fellowship + Dean's Fellowship 25K + 15K for first five years. 25% TAShip Years, 1, 3,4. Fierce and lucky AF."
University of Illinois - Chicago (UIC),Mathematics,"$18,600",0.77,2017-2018,1st,18.6k for 9-month pay for 20 hr/wk TA. Most fees are covered but university only covers 40% or $250 (whichever is greater) towards university healthcare. They have a large medical school which means coverage should be comprehensive.
University of Colorado - Boulder (UCB),Applied Mathematics,"$21,700",0.85,2017-2018,1st,20.2k base 9-month pay for 20 hour/week TA plus 3k 1st year fellowship. Mandatory fees are around 1.5k per annum.
University of New Hampshire (UNH),Computer Science,"$30,000",1.26,2016-2017,1st,RA
Rockefeller University,chem bio,"$37,530",1.26,2017-2018,1st,
Georgia Institute of Technology (Georgia Tech),Chemistry and Biochemistry,"$23,500",1.01,2016-2017,4th,
Mississippi State University (MSU),Chemistry,"$17,500",0.80,2016-2017,1st,
Stanford University (SU),Electrical Engineering,"$40,000",1.39,2016-2017,3rd,
University of Tennessee - Knoxville,Energy Science and Engineering,"$28,800",1.36,2017-2018,1st,
University of Arizona (U of A),English,"$16,500",0.80,2017-2018,5th,
North Carolina State University (NCSU),Statistics,"$16,250",0.71,2017-2018,1st,
University of Arizona (U of A),English,"$15,500",0.75,2017-2018,1st,
Washington State University (WSU),Sociology,"$15,030",0.79,2016-2017,1st,includes health insurance
