University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,Comments
University of Wisconsin - Madison (UW),Classics,"$24,224",1.06,2020-2021,1st,"Graduate assistantship funding covers segregated fees (~$800/term) when on fellowship, but during terms when funding comes from a TAship, that money (plus $100 extra which I pay as an international student) comes out of the $5500 departmental scholarship, which is split between the two terms."
Georgetown University,Arabic and Islamic Studies,"$33,814",1.10,2022-2023,1st,"4 year teaching req. 9-month stipend, full-tuition scholarship. no word on summer funding"
University of Washington (UW),Computer Science & Engineering,"$47,790",2.05,2021-2022,1st,
University of Wisconsin - Madison (UW),Physics,"$29,382",1.29,2021-2022,2nd,
University of Wisconsin - Madison (UW),Astronomy,"$24,540",1.07,2020-2021,1st,
,Physics,"$21,000",,2021-2022,1st,
University of Wisconsin - Madison (UW),Physics,"$21,000",0.92,2021-2022,1st,
Case Western Reserve University,Molecular Medicine,"$33,500",1.68,2022-2023,3rd,"Insurance included, free textbooks"
University of Wisconsin - Madison (UW),Physics,"$27,800",1.22,2020-2021,3rd,
University of California - Berkeley,Haas/MORS,"$35,000",1.26,2020-2021,1st,
Saint Louis University,English,"$17,700",,2020-2021,4th,
Emory University,physics,"$31,100",1.34,2020-2021,6th and up,
University of Oklahoma (OU),Modern Languages,"$14,500",0.72,2022-2023,1st,
Iowa State University,Agricultural and Biosystems,"$23,300",,2020-2021,3rd,
University of Toledo,Ph.D. Experimental Psychology,"$19,000",1.01,2020-2021,1st,"University Fellowship recipient, remission of all required fees except parking (approx. $125 not needed this semester)."
University of North Texas (UNT),Psychology,"$13,138",0.68,2014-2015,1st,"Pay for 20 hrs of TA or RA work, at the time included basic health insurance coverage"
University of Pennsylvania,Wharton,"$37,000",1.53,2020-2021,,
George Washington University (GW),Political Science,"$31,800",1.03,2021-2022,3rd,
Case Western Reserve University,Psychology,"$14,980",0.75,2021-2022,1st,"They are increasing to 20,000/12-months beginning the 2022-2023 school year."
Michigan State University (MSU),School Psychology,"$22,167",1.08,2021-2022,3rd,The stipend provided is a combination of an assistantship and a fellowship. Summer funding is not guaranteed. It's often covered with an assistantship
,,"$28,500",,2022-2023,1st,
Pennsylvania State University (Penn State),Psychology,"$24,000",1.07,2021-2022,2nd,Summer funding is only for first 2 years
University of California - San Diego (UCSD),Clinical Psychology,"$25,000",0.94,2020-2021,2nd,This is the joint program: SDSU/UCSD joint doctoral in Clinical Psychology
University of Houston (UH),Psychology,"$22,472",1.03,2019-2020,3rd,
University of Southern California (USC),Psychology,"$30,500",1.18,2020-2021,3rd,
University of Utah,Organizational Behavior,"$32,000",1.44,2022-2023,1st,"Additional: tuition & fees, $500/ year research (1st 2 years), $1000/ year research (years 3-5) 100% health insurance premium for student Office space and computer equipment"
University of Wisconsin - Madison (UW),English,"$24,300",1.06,2021-2022,2nd,
University of Michigan - Ann Arbor (UM),Information Science,"$36,081",1.56,2022-2023,1st,"I have a fellowship, so I'll be paid 12 months 2022-2023."
,Information Science,"$36,000",,2022-2023,1st,
University of Michigan - Ann Arbor (UM),Information Science,"$3,000",0.13,2022-2023,1st,
Michigan State University (MSU),Communication,"$21,000",1.02,2020-2021,3rd,"Summer is optional but always available to those who want it as far as I know. Stipend is flat rate TA/RA (have rounded it above), and get a bump after candidacy. Health insurance is good, get 9 tuition credits a term included. cost of living here is pretty low comparatively"
North Carolina State University (NCSU),Mathematics,"$16,600",0.73,2020-2021,3rd,
University of Virginia (UVA),Psychology,"$24,000",1.05,2020-2021,,
University of Colorado - Boulder (UCB),Psychology & Neuroscience,"$23,464",0.92,2021-2022,1st,Fall/spring 50% time TA. CU no longer charges grad students fees. TA/RAs also receive tuition remission and health benefits.
University of Texas - Dallas (UTD),Chemistry and Biochemistry,"$1,900",0.09,2021-2022,2nd,1900 monthly
University of Tennessee - Knoxville,MABE,"$2,000",0.09,2020-2021,,
Baylor University (BU),Psychology and Neuroscience,"$29,000",1.46,2021-2022,2nd,
St. Louis University (SLU),Chemistry,"$23,350",1.13,2020-2021,5th,
Case Western Reserve University,Experimental Psychology,"$20,000",1.16,2014-2015,4th,
St. Louis University (SLU),,"$22,900",1.11,2020-2021,,
